original index,load power (kW),solar power (kW),battery power (kW),battery SoC (kWh),solar capacity (kW),battery capacity (kWh),battery peak power (kW)
1514725200,8.549306050461999,0.0,0.920693878008,2.4396842105300003,5.07333336274,9.8,5.0
1514725500,8.405101949635,0.0,0.922897961675,2.5325263157899998,5.07333336274,9.8,5.0
1514725800,8.33247075697,0.0,0.9217291722700002,2.62422222222,5.07333336274,9.8,5.0
1514726100,8.292924854608,0.0,0.919874999672,2.7113333333300003,5.07333336274,9.8,5.0
1514726400,8.369216630458,0.0,0.918583333492,2.79557894737,5.07333336274,9.8,5.0
1514726700,8.420194361221,0.0,0.915875007709,2.88555555556,5.07333336274,9.8,5.0
1514727000,8.448559118,0.0,0.91504081658,2.97610526316,5.07333336274,9.8,5.0
1514727300,8.425137409963002,0.0,0.914062504967,3.0597777777800004,5.07333336274,9.8,5.0
1514727600,8.728914122092002,0.0,0.912285709868,3.14631578947,5.07333336274,9.8,5.0
1514727900,8.769908173881,0.0,0.909291664759,3.23915789474,5.07333336274,9.8,5.0
1514728200,8.569091627646,0.0,0.906708328674,3.332,5.07333336274,9.8,5.0
1514728500,8.258629865975001,0.0,0.905729160955,3.4196842105300003,5.07333336274,9.8,5.0
1514728800,8.314611956352,0.0,0.904693871128,3.50622222222,5.07333336274,9.8,5.0
1514729100,8.423129096429001,0.0,0.903270830711,3.58989473684,5.07333336274,9.8,5.0
1514729400,8.483524874651,0.0,0.900874997179,3.675,5.07333336274,9.8,5.0
1514729700,8.45699573129,0.0,0.9006041660899999,3.7601052631600003,5.07333336274,9.8,5.0
1514730000,8.351314285192998,0.0,0.8992857142370001,3.84377777778,5.07333336274,9.8,5.0
1514730300,8.314224518805998,0.0,0.897775517434,3.93031578947,5.07333336274,9.8,5.0
1514730600,8.176651874819,0.0,0.894127659341,4.018,5.07333336274,9.8,5.0
1514730900,8.172293657304001,0.0,0.892510202466,4.11084210526,5.07333336274,9.8,5.0
1514731200,8.258006792703,0.0,0.8906666636470001,4.19766666667,5.07333336274,9.8,5.0
1514731500,8.441795748769,0.0,0.889604173601,4.275894736840001,5.07333336274,9.8,5.0
1514731800,8.571387686487,0.0,0.887734696573,4.361,5.07333336274,9.8,5.0
1514732100,8.637512339633,0.0,0.8867346960670001,4.44610526316,5.07333336274,9.8,5.0
1514732400,8.629154153517,0.0,0.8846458333230001,4.5243333333299995,5.07333336274,9.8,5.0
1514732700,8.447644906,0.0,0.8827551031599999,4.611157894740001,5.07333336274,9.8,5.0
1514733000,8.332658398103,0.0,0.879541666557,4.704,5.07333336274,9.8,5.0
1514733300,8.34064562048,0.0,0.87835417067,4.78652631579,5.07333336274,9.8,5.0
1514733600,8.435083217869002,0.0,0.876916670551,4.8727777777800005,5.07333336274,9.8,5.0
1514733900,8.473097866847,0.0,0.8751020395029999,4.95157894737,5.07333336274,9.8,5.0
1514734200,8.442116600919999,0.0,0.8730833369,5.03066666667,5.07333336274,9.8,5.0
1514734500,8.433101990624,0.0,0.8719999976459999,5.116631578950001,5.07333336274,9.8,5.0
1514734800,8.417349231525,0.0,0.8687291654449999,5.194,5.07333336274,9.8,5.0
1514735100,8.285763192515,0.0,0.8648367353849999,5.292,5.07333336274,9.8,5.0
1514735400,8.185345743547,0.0,0.864854165663,5.37366666667,5.07333336274,9.8,5.0
1514735700,8.194285632394,0.0,0.862448983046,5.44988888889,5.07333336274,9.8,5.0
1514736000,8.289949803669,0.0,0.863187496861,5.524105263159999,5.07333336274,9.8,5.0
1514736300,8.275166694475999,0.0,0.8608333331839999,5.60663157895,5.07333336274,9.8,5.0
1514736600,8.292845851228,0.0,0.8573541628820001,5.684,5.07333336274,9.8,5.0
1514736900,8.386077563081999,0.0,0.853122447218,5.782,5.07333336274,9.8,5.0
1514737200,8.347122441362,0.0,0.853877552918,5.85822222222,5.07333336274,9.8,5.0
1514737500,8.159308204803,0.0,0.852291669697,5.931578947369999,5.07333336274,9.8,5.0
1514737800,8.156505998596002,0.0,0.850693870564,6.010666666670001,5.07333336274,9.8,5.0
1514738100,8.221787395678,0.0,0.849812502662,6.0811578947400005,5.07333336274,9.8,5.0
1514738400,8.270620354442,0.0,0.844081635378,6.174,5.07333336274,9.8,5.0
1514738700,8.253521627845998,0.0,0.844897956264,6.25136842105,5.07333336274,9.8,5.0
1514739000,8.304190237191,0.0,0.841479172309,6.32644444444,5.07333336274,9.8,5.0
1514739300,8.368522640867,0.0,0.843673468853,6.39578947368,5.07333336274,9.8,5.0
1514739600,8.241906049788,0.0,0.839693877162,6.468,5.07333336274,9.8,5.0
1514739900,8.146299827945,0.0,0.8364999977249999,6.56084210526,5.07333336274,9.8,5.0
1514740200,8.151567165514,0.0,0.834632652146,6.63677777778,5.07333336274,9.8,5.0
1514740500,8.25814685379,0.0,0.8346530624799999,6.70526315789,5.07333336274,9.8,5.0
1514740800,8.256293802162,0.0,0.834306125738,6.77833333333,5.07333336274,9.8,5.0
1514741100,8.244565866402,0.0,0.828234049868,6.86,5.07333336274,9.8,5.0
1514741400,8.294391760685,0.0,0.825408167985,6.94711111111,5.07333336274,9.8,5.0
1514741700,8.321687474297,0.0,0.827312498043,7.00957894737,5.07333336274,9.8,5.0
1514742000,8.237289725276,0.0,0.826510204344,7.077777777780001,5.07333336274,9.8,5.0
1514742300,8.128837313107,0.0,0.822562499593,7.154,5.07333336274,9.8,5.0
1514742600,8.199171276236001,0.0,0.8184285686939999,7.2465555555600005,5.07333336274,9.8,5.0
1514742900,8.240491607539997,0.0,0.8187083217,7.31389473684,5.07333336274,9.8,5.0
1514743200,8.235766567140999,0.0,0.8158333264290001,7.3826666666700005,5.07333336274,9.8,5.0
1514743500,8.226241550145,0.0,0.815958328545,7.448,5.07333336274,9.8,5.0
1514743800,8.169040640668,0.0,0.807959195302,7.546,5.07333336274,9.8,5.0
1514744100,8.229187429096,0.0,0.810812499374,7.6078947368400005,5.07333336274,9.8,5.0
1514744400,8.2552070788348,-0.0128571425698,0.8142500097550001,7.67122222222,5.07333336274,9.8,5.0
1514744700,8.2518242948911,-0.0166666662941,0.806270830333,7.742,5.07333336274,9.8,5.0
1514745000,8.2517359576322,-0.0116326528012,0.803163264479,7.834555555560001,5.07333336274,9.8,5.0
1514745300,8.24521550982,-0.01416666635,0.80055101672,7.89673684211,5.07333336274,9.8,5.0
1514745600,8.2384202579176,-0.0146938772226,0.803673464425,7.95977777778,5.07333336274,9.8,5.0
1514745900,8.1756790052745,-0.0410416671075,0.795562499513,8.036,5.07333336274,9.8,5.0
1514746200,8.173145677891098,-0.0500000007451,0.791854165494,8.11766666667,5.07333336274,9.8,5.0
1514746500,8.2494658943121,-0.0500000007451,0.7921666701629999,8.18042105263,5.07333336274,9.8,5.0
1514746800,8.3933991395562,-0.0565999993682,0.797122445642,8.23744444444,5.07333336274,9.8,5.0
1514747100,8.2921272907033,-0.0560416661513,0.784714288858,8.33,5.07333336274,9.8,5.0
1514747400,8.246115351887202,-0.0528571430062,0.7875416663789999,8.395333333329999,5.07333336274,9.8,5.0
1514747700,8.217889651438599,-0.0538775510326,0.7913877513940001,8.45378947368,5.07333336274,9.8,5.0
