Passo_Tempo;Sem Bateria - Tensão (p.u.);Cenário Ótimo (Sigma=0.7457, Zeta=34.4*eta) - Tensão (p.u.);Cenário Ótimo (Sigma=0.7457, Zeta=34.4*eta) - P (kW);Cenário Ótimo (Sigma=0.7457, Zeta=34.4*eta) - Q (kvar)
0;0,9027;0,9069;-329,6077;486,6301
1;0,9034;0,9075;-330,6437;488,3593
2;0,9036;0,9077;-331,8338;488,3550
3;0,9038;0,9079;-337,6823;489,5767
4;0,9038;0,9079;-334,3479;488,6713
5;0,9035;0,9077;-335,1355;488,7796
6;0,9038;0,9132;-336,5912;488,8621
7;0,8999;0,9476;2335,8416;486,7411
8;0,9298;0,9392;2335,8421;486,5276
9;0,9412;0,9448;-404,8927;487,1393
10;0,9443;0,9442;-650,4150;487,1291
11;0,9465;0,9442;-807,1190;487,3010
12;0,9440;0,9408;-861,6725;487,2334
13;0,9347;0,9321;-808,6278;487,2338
14;0,9312;0,9308;-651,1185;486,8250
15;0,9243;0,9275;-404,5239;487,2811
16;0,9046;0,9138;-83,3131;487,2774
17;0,8942;0,9187;928,8435;486,8925
18;0,8985;0,9447;1871,3183;790,9397
19;0,8987;0,9139;1871,5189;790,8981
20;0,8998;0,9153;-0,8190;791,8478
21;0,9001;0,9153;0,8206;791,4388
22;0,9013;0,9163;-51,9306;792,9445
23;0,9020;0,9020;-574,0889;488,3664
